title|pubdate|mastingperiod|occasion|location|section|date1|date2|year
Death of the Honourable Robert Gordon Robertson, P.C., C.C. FRSE|Wed, 16 Jan 2013 17:00:00 -0500| From January 16, 2013 until sunset Monday January 21, 2013, day of the funeral of the late Honourable Robert Gordon Robertson.| Death of the late Honourable Robert Gordon Robertson, who passed away on Tuesday January 14, 2013.| Flags on all Government of Canada buildings and establishments in the city of Ottawa, Ontario, with the exception of the Peace Tower.|7|2013-01-16 00:00:00|2013-01-21 00:00:00|2013
National Day of Remembrance and Action on Violence Against Women|Thu, 6 Dec 2012 00:00:00 -0500| From sunrise to sunset Thursday, December 6, 2012.| National Day of Remembrance and Action on Violence Against Women.| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa.|11|2012-12-06 00:00:00|NA|2012
Death of The Honourable Gilbert R. Clements, O.P.E.I., former Lieutenant Governor of Prince Edward Island|Tue, 27 Nov 2012 15:00:00 -0500| From November 27, 2012, until sunset on on the day of the funeral or commemorative service (date to be confirmed), in honour of the late Honourable Gilbert R. Clements, former Lieutenant Governor of Prince Edward Island, who passed away on November 26, 2012.| Death of the Honourable Gilbert R. Clements, former Lieutenant Governor of Prince Edward Island| Flags on all Government of Canada buildings and establishments in the province of Prince Edward Island.|10|2012-11-27 00:00:00|NA|2012
Death of the late Mr. Clifford Pilkey, former Member of the Legislative Assembly of Ontario|Wed, 21 Nov 2012 12:00:00 -0500| From November 21, 2012, until sunset on Friday, November 23, 2012, the day of the funeral for the late Mr. Clifford Pilkey, former Member of the Legislative Assembly of Ontario, who passed away November 17, 2012.| Death of the late Mr. Clifford Pilkey, former Member of the Legislative Assembly of Ontario.| Flags on all Government of Canada buildings and establishments in the Riding of Oshawa, Ontario.|10|2012-11-21 00:00:00|2012-11-23 00:00:00|2012
Death of Constable Adrian Oliver of the Royal Canadian Mounted Police|Tue, 13 Nov 2012 16:00:00 -0500| From November 13, 2012, until sunset Tuesday, November 20, 2012, the day of the funeral of Constable Adrian Oliver, who died while on duty November 13, 2012 in Surrey, British Columbia. | Death of Constable Adrian Oliver of the Royal Canadian Mounted Police.| Flags on all buildings and establishments of the Royal Canadian Mounted Police across the country.|14|2012-11-13 00:00:00|2012-11-13 00:00:00|2012
Remembrance Day|Sun, 11 Nov 2012 05:00:00 -0500| From sunrise to sunset on Remembrance Day, Sunday, November 11, 2012. | Remembrance Day.| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower, will be flown at half-mast from sunrise to sunset on Remembrance Day, Sunday, November 11, 2012. When half-masting occurs at the National War Memorial or a place where remembrance is being observed, the half-masting can occur at 11:00 a.m. (or according to the prescribed order of service) until sunset. |11|2012-11-11 00:00:00|NA|2012
Death of the Honourable Robert Kaplan, P.C., former Member of Parliament for the Riding of York Centre.|Tue, 6 Nov 2012 00:00:00 -0500| From sunrise to sunset on November 6, 2012, the day of the funeral of the late honourable Robert Kaplan, who passed away on Monday, November 5, 2012. | Death of the Honourable Robert Kaplan, P.C., former Member of Parliament for the Riding of York Centre.| Flags on all Government of Canada buildings and establishments in the city of Toronto, Ontario will be flown at half-mast.  Further, the flag on the Peace Tower in Ottawa will be flown at half-mast on November 6, 2012, until sunset, the day of the funeral.|7|2012-11-06 00:00:00|NA|2012
Death of Mr. Harvie Andre, P.C., former Member of Parliament for the Riding of Calgary Centre (1972-1988)|Tue, 23 Oct 2012 14:45:00 -0400| From October 23, 2012, until October 29, 2012, the day of the Memorial Service for the late Honourable Mr. Harvie Andre.| Death of the Honourable Mr. Harvie Andre, former Member of Parliament for the Riding of Calgary Centre (1972-1988), who passed away on Sunday October 21, 2012. | Flags on all Government of Canada buildings and establishments in the city of Calgary, Alberta, will be flown at half-mast from now until sunset on the day of the funeral or commemorative service (date to be confirmed). Further, the flag on the Peace Tower in Ottawa will be flown at half-mast from sunrise to sunset on October 29, 2012, the day of the Memorial Service.|7|2012-10-23 00:00:00|2012-10-29 00:00:00|2012
Death of The Honourable Lincoln M. Alexander, former Lieutenant Governor of Ontario|Fri, 19 Oct 2012 13:00:00 -0400| From October 19, 2012, until sunset on Friday, October 26, 2012, the day of the funeral of the late Honourable Lincoln M. Alexander.| Death of The Honourable Lincoln M. Alexander, former Lieutenant Governor of Ontario, who passed away on October 19, 2012.| All Government of Canada buildings and establishments in the province of Ontario, with the exception of the Peace Tower. Further, the flag on the Peace Tower will fly at half-mast from sunrise to sunset on Friday, October 26, 2012, day of the funeral.|10|2012-10-19 00:00:00|2012-10-26 00:00:00|2012
Funeral for the late Mr. John Cleary, Former Member of the Legislative Assembly of Ontario.|Thu, 11 Oct 2012 10:45:00 -0400| From now until sunset today, October 11, 2012| Funeral for the late Mr. John Cleary, Former Member of the Legislative Assembly of Ontario, who passed away October 6, 2012. | Flags on all Government of Canada buildings and establishments in the Ridings of Cornwall and Stormont --Dundas—Charlottenburgh in Ontario will be flown at half-mast. |10|2012-10-11 00:00:00|NA|2012
Police and Peace Officers' National Memorial Day - September 30, 2012|Sun, 30 Sep 2012 06:00:00 -0400| From sunrise to sunset on  Sunday, September 30, 2012,  | To recognize Police and Peace Officers' National Memorial Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa, will be flown at half-mast|11|2012-09-30 00:00:00|NA|2012
Death of The Honourable Sylvia Fedoruk, former Lieutenant Governor of Saskatchewan|Thu, 27 Sep 2012 06:00:00 -0400| From September 26, 2012 until sunset on October 5, 2012| Death of The Honourable Sylvia Fedoruk, former Lieutenant Governor of Saskatchewan, who passed away September 26, 2012.| Flags on all Government of Canada buildings and establishments in the province of Saskatchewan will be flown at half-mast|10|2012-09-26 00:00:00|2012-10-05 00:00:00|2012
Death of the Honourable E. Peter Lougheed, Former Premier of Alberta|Fri, 14 Sep 2012 06:00:00 -0400| From September 14, 2012, until sunset on the Friday, September 21, 2012, the day of the memorial service of the Honourable E. Peter Lougheed.| Death of the Honourable E. Peter Lougheed, P.C., C.C., A.O.E., Q.C., Former Premier of Alberta, who passed away on September 13, 2012.| All Government of Canada buildings and establishments in the Province of Alberta. Further, the flag on the Peace Tower in Ottawa will be flown at half-mast from sunrise to sunset on Friday, September 21, the day of the memorial service of the Honourable E. Peter Lougheed.|Multiple|2012-09-14 00:00:00|2012-09-21 00:00:00|2012
Death of Peace Officer Rod Lazenby from the Municipal District of Foothill in Alberta|Fri, 24 Aug 2012 06:00:00 -0400| Friday, August 24, 2012, the day of the memorial service of Peace Officer Rod Lazenby| Death of Peace Officer Rod Lazenby from the Municipal District of Foothill in Alberta, who was killed on duty on August 10, 2012| All Government of Canada buildings and establishments in the City of High River, Alberta|10|2012-08-24 00:00:00|NA|2012
Death of Constable Derek Pineo of the Royal Canadian Mounted Police|Fri, 20 Jul 2012 15:00:00 -0400| From July 20, 2012, until sunset Sunday, July 29, 2012, the day of the memorial service| Death of Constable Derek Pineo of the Royal Canadian Mounted Police, who died while on duty, on July 20, 2012 in Wilkie, Saskatchewan.| All buildings and establishments of the Royal Canadian Mounted Police, across the country||2012-07-20 00:00:00|2012-07-29 00:00:00|2012
Death of Correctional Officer Michael Gaucher|Wed, 18 Jul 2012 15:00:00 -0400| From July 18, 2012 until sunset on Friday, July 20, 2012, the day of the funeral of Correctional Officer Michael Gaucher.| Death of Correctional Officer Michael Gaucher from the Drumheller Minimum Security Unit in Alberta  | All Department of Public Safety Correctional Services Canada facilities in the Prairie Region (Manitoba, Saskatchewan and Alberta), as well as Community Operation Offices in north west Ontario and the Northwest Territories.|14|2012-07-18 00:00:00|2012-07-20 00:00:00|2012
National Day of Remembrance for Victims of Terrorism|Sat, 23 Jun 2012 09:00:00 -0400| Sunrise to sunset on Saturday, June 23, 2012| National Day of Remembrance for Victims of Terrorism| Peace Tower, Ottawa||2012-06-23 00:00:00|NA|2012
