title|pubdate|mastingperiod|occasion|location|section|date1|date2|year
Workers’ Mourning Day|Tue, 18 Apr 2017 12:30:00 -0400| From sunrise to sunset on April 28, 2017| Workers’ Mourning Day| The flags on the Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada|11|2017-04-28 00:00:00|NA|2017
National day of remembrance of the Battle of Vimy Ridge|Fri, 24 Mar 2017 08:00:00 -0400| From sunrise to sunset on April 9, 2017| To mark the national day of remembrance of the Battle of Vimy Ridge| The flag on the Peace Tower in Ottawa|11|2017-04-09 00:00:00|NA|2017
Death of the Honourable William (Bill) Rompkey, P.C.|Thu, 23 Mar 2017 10:00:00 -0400| From March 23 until sunset on the day of the funeral service on March 31, 2017| Death of the Honourable William (Bill) Rompkey, P.C. who passed away on March 21, 2017| The flags on all Government of Canada buildings and establishments in the city of Ottawa, with the exception of the Peace Tower|7|2017-03-23 00:00:00|2017-03-31 00:00:00|2017
Victims of the attack in London on March 22, 2017|Thu, 23 Mar 2017 06:00:00 -0400| From March 22 until sunset on March 25, 2017| In memory of the victims of the attack in London on March 22, 2017| The flag on the Peace Tower in Ottawa|16|2017-03-22 00:00:00|2017-03-25 00:00:00|2017
Death of the Honourable James McGrath, P.C., former Minister and former Lieutenant Governor of Newfoundland and Labrador|Wed, 1 Mar 2017 07:00:00 -0500| From March 1 until sunset on the day of the funeral or commemorative service of the late James McGrath| Death of the Honourable James McGrath, P.C., former Minister and former Lieutenant Governor of Newfoundland and Labrador, who passed away on February 28, 2017| The flags on all Government of Canada buildings and establishments in the province of Newfoundland and Labrador|Multiple|2017-03-01 00:00:00|NA|2017
Victims of the attack in the City of Québec on January 29, 2017|Mon, 30 Jan 2017 10:00:00 -0500| From January 30 until sunset February 6, 2017| In memory of the victims of the attack in the City of Québec on January 29, 2017|" The flags on all federal buildings and establishments in Canada, including the Peace Tower, with the exception of buildings and establishments in the province of QuebecAdditional details: As per the Rules for Half-masting the National Flag of Canada (section 16)
"|Multiple|2017-01-30 00:00:00|2017-02-06 00:00:00|2017
Death of the Honourable Marcel Prud'homme, P.C.|Thu, 26 Jan 2017 10:00:00 -0500| From January 26 until sunset on the day of the funeral on February 4, 2017, of the late Marcel Prud’homme| Death of the Honourable Marcel Prud'homme, P.C. who died on January 25, 2017| All Government of Canada buildings and establishments in the city of Ottawa, with the exception of the Peace Tower|7|2017-01-26 00:00:00|2017-02-04 00:00:00|2017
Victims of the attack in Istanbul, Turkey on December 31, 2016|Tue, 3 Jan 2017 06:00:00 -0500| January 3 to January 6, 2017| The flag on the Peace Tower in Ottawa, will be flown at half-mast from now until sunset January 6, 2017, in memory of the victims of the attack in Istanbul  | The flag on the Peace Tower in Ottawa|16|2017-01-03 00:00:00|2017-01-06 00:00:00|2017
Death of Honourable Warren Allmand, P.C., O.C., Q.C.|Thu, 8 Dec 2016 12:00:00 -0500| From December 8 until sunset on December 19, 2016, day of the funeral of the late Honourable Warren Allmand| Death of the Honourable Warren Allmand, P.C., O.C., Q.C. who passed away on December 7, 2016|" All Government of Canada buildings and establishments in the city of Montréal, QuébecAdditional details: Rules for Half-masting the National Flag of Canada (Section 7)
"|7|2016-12-08 00:00:00|2016-12-19 00:00:00|2016
National Day of Remembrance and Action on Violence Against Women|Wed, 23 Nov 2016 14:00:00 -0500| From sunrise to sunset on Tuesday, December 6, 2016| National Day of Remembrance and Action on Violence Against Women| All Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa|11|2016-12-06 00:00:00|NA|2016
Remembrance Day|Mon, 31 Oct 2016 10:00:00 -0400| From sunrise to sunset on Friday, November 11, 2016.| Remembrance Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower|11|2016-11-11 00:00:00|NA|2016
Death of the Honourable Jim Prentice, P.C., Q.C|Fri, 14 Oct 2016 10:00:00 -0400| From October 14 until sunset October 28, 2016 the day of the of the memorial for the late Honourable Jim Prentice| Death of the Honourable Jim Prentice who passed away October 13, 2016|" All Government of Canada buildings and establishments in the city of CalgaryAdditional details: Rules for Half-masting the National Flag of Canada (Section 7)
"|7|2016-10-14 00:00:00|2016-10-28 00:00:00|2016
Death of the Honourable Barbara A. Hagerman, O.P.E.I., former Lieutenant Governor of Prince Edward Island|Thu, 6 Oct 2016 08:00:00 -0400| From October 6 until sunset on the day of the funeral or commemorative service (date to be confirmed) of the late Barbara A. Hagerman, former Lieutenant Governor of Prince Edward Island, who passed away on Thursday, October 6, 2016.| Death of the Honourable Barbara A. Hagerman, O.P.E.I., former Lieutenant Governor of Prince Edward Island| on all Government of Canada buildings and establishments in the province of Prince Edward Island|10|2016-10-06 00:00:00|NA|2016
Police and Peace Officers' National Memorial Day - September 25, 2016|Thu, 22 Sep 2016 06:00:00 -0400| From sunrise to sunset on Sunday, September 25, 2016| To recognize Police and Peace Officers' National Memorial Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa.|11|2016-09-25 00:00:00|NA|2016
Death of Norman L. Kwong, CM, AOE, LLD, former Lieutenant Governor of Alberta|Tue, 6 Sep 2016 06:00:00 -0400| From now until sunset on Tuesday September 13, the day of the commemorative service of the late Norman L. Kwong, former Lieutenant Governor of Alberta, who passed away on Saturday, September 3, 2016.| Death of Norman L. Kwong, CM, AOE, LLD, former Lieutenant Governor of Alberta, who passed away on Saturday, September 3, 2016.| All Government of Canada buildings and establishments in the province of Alberta|10|2016-09-13 00:00:00|NA|2016
Death of Honourable Mauril Bélanger, P.C., M.P.|Wed, 17 Aug 2016 08:00:00 -0400| From August 17 until sunset August 27, 2016 the day of the funeral for the late Honourable Mauril Bélanger, who passed away on August 16, 2016| Death of Honourable Mauril Bélanger, P.C., M.P.| All Government of Canada buildings and establishments in the riding of Ottawa-Vanier.  Additionally, the flag on the Peace Tower will be flown at half-mast from sunrise to sunset on August 27, 2016 the day of the funeral.|Multiple|2016-08-17 00:00:00|2016-08-27 00:00:00|2016
To mark the tragic events that took place in Nice, France|Fri, 15 Jul 2016 08:00:00 -0400| From July 15 until sunset on Monday, July 18, 2016| To mark the tragic events that took place in Nice, France, on July 14, 2016| The flag on the Peace Tower in Ottawa|16|2016-07-15 00:00:00|2016-07-18 00:00:00|2016
Victims of the Attack in Istanbul, Turkey, on June 28, 2016|Thu, 30 Jun 2016 08:00:00 -0400| From June 30 until sunset on July 2, 2016| In memory of the victims of the attack in Istanbul, Turkey, on June 28, 2016| The flag on the Peace Tower in Ottawa|19|2016-06-30 00:00:00|2016-07-02 00:00:00|2016
National Day of Remembrance for Victims of Terrorism|Thu, 23 Jun 2016 04:00:00 -0400| From sunrise to sunset on Thursday, June 23, 2016, to mark this day.| National Day of Remembrance for Victims of Terrorism| The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across the country.|11|2016-06-23 00:00:00|NA|2016
Death of the Honorable L. Norbert Thériault|Mon, 20 Jun 2016 10:00:00 -0400| From June 20 until the day of the funeral or commemorative service, date to be confirmed, of the late L. Norbert Thériault| Death of the Honorable L. Norbert Thériault, who passed away on June 19, 2016| All Government of Canada buildings and establishments in Baie-Saint-Anne, New Brunswick|10|2016-06-20 00:00:00|NA|2016
Death of His Worship Gerry Cormier|Mon, 20 Jun 2016 10:00:00 -0400| From June 20 until the day of the funeral or commemorative service, date to be confirmed, of the late Gerry Cormier| Death of His Worship Gerry Cormier, who passed away on June 19, 2016| All Government of Canada buildings and establishments in Miramichi, New Brunswick|10|2016-06-20 00:00:00|NA|2016
Death of Honourable Brian M. Joyce|Sun, 19 Jun 2016 10:00:00 -0400| From June 19 until sunset on July 4, 2016.| Death of Honourable Brian M. Joyce who passed away on June 18, 2016.| All Government of Canada buildings and establishments in the region of Chilliwack. British Columbia|10|2016-06-19 00:00:00|2016-07-04 00:00:00|2016
Death of the Honourable J. Gilles Lamontagne, P.C., O.C., C.Q., C.D.|Wed, 15 Jun 2016 12:00:00 -0400| Now until sunset on June 18, the day of the funeral| Death of the Honourable J. Gilles Lamontagne, P.C., O.C., C.Q., C.D.| On all Government of Canada buildings and establishments in the city of Québec, Quebec|7|2016-06-18 00:00:00|NA|2016
Victims of the attack in Orlando, FL, on June 12, 2016|Mon, 13 Jun 2016 08:00:00 -0400| From June 13, 2016 until June 16, 2016| The flag on the Peace Tower in Ottawa will be flown at half-mast from now until June 16, 2016 in memory of the victims of the attack in Orlando, FL, on June 12, 2016| The flag on the Peace Tower in Ottawa|16|2016-06-13 00:00:00|2016-06-16 00:00:00|2016
Death of the Honourable Leonard Stephen Marchand, P.C., C.M.|Fri, 3 Jun 2016 09:00:00 -0400| From now until sunset on the day of the funeral or commemorative service (date to be confirmed) of the late Leonard S. Marchand| Death of the Hourable Leonard S. Marchand, who passed away on June 3, 2016.| All Government of Canada buildings and establishments in the city of Kamloops,  British Columbia|7|2016-06-13 00:00:00|2016-06-16 00:00:00|2016
Memorial Service for Deceased Parliamentarians|Mon, 30 May 2016 09:00:00 -0400| From 9:00 a.m. to 11:00 a.m. on Monday, May 30, 2016| Memorial Service for Deceased Parliamentarians| Peace Tower in Ottawa|11|2016-05-30 00:00:00|NA|2016
Death of the Honourable William H. Jarvis, P.C., Q.C.|Mon, 2 May 2016 07:00:00 -0400| From now until sunset on May 12, 2016, day of the commemorative service of the late William H. Jarvis, who passed away on April 27, 2016| Death of the Honourable William H. Jarvis, P.C., Q.C. who died on April 27, 2016.| All Government of Canada buildings and establishments in the city of Cornwall, Ontario|7|2016-05-12 00:00:00|NA|2016
Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day)|Thu, 28 Apr 2016 05:00:00 -0400| Sunrise to sunset on Thursday, April 28, 2016| Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day)| The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada|11|2016-04-28 00:00:00|NA|2016
Vimy Ridge Day|Sat, 9 Apr 2016 04:00:00 -0400| From sunrise to sunset on April 9, 2016| To mark the national day of remembrance of the Battle of Vimy Ridge| Peace Tower in Ottawa|11|2016-04-09 00:00:00|NA|2016
Death of Constable Sarah Beckett of the Royal Canadian Mounted Police|Fri, 8 Apr 2016 07:00:00 -0400| From sunrise until sunset on April 12, 2016 the day of the funeral of the late Constable Sarah Beckett| Death of Constable Sarah Beckett of the Royal Canadian Mounted Police, who passed away on April 5, 2016| The flags on all Government of Canada buildings and establishments in the Province of British Columbia|10|2016-04-12 00:00:00|NA|2016
Death of Honourable Jean-Charles (Jean) Lapierre, P.C.|Wed, 30 Mar 2016 06:00:00 -0400| From March 30, 2016 until sunset on April  8, 2016, the day of the funeral of the late Honourable Jean-Charles (Jean) Lapierre. | The death of Honourable Jean-Charles (Jean) Lapierre, P.C. who died on March 29, 2016.| All Government of Canada buildings and establishments in the city of Montréal, and les Iles de la Madeleine, Quebec|7|2016-03-30 00:00:00|2016-04-08 00:00:00|2016
In memory of the victims of the attack in Lahore, Pakistan on March 27, 2016|Mon, 28 Mar 2016 07:00:00 -0400| From March 28 until sunset on March 31, 2016| In memory of the victims of the tragedy in Pakistan on March 27, 2016.  | The flag on the Peace Tower in Ottawa|16|2016-03-28 00:00:00|2016-03-31 00:00:00|2016
Death of Jim Hillyer, M.P.|Wed, 23 Mar 2016 07:00:00 -0400| From March 23, 2016 until sunset on the day of the funeral or memorial service on April 1, 2016 for the late Jim Hillyer.| The death of Jim Hillyer, M.P. who died suddenly on March 23, 2016.| All Government of Canada buildings and establishments in the city of Medicine Hat, Alberta|8|2016-03-23 00:00:00|2016-04-01 00:00:00|2016
In memory of the victims of the tragedy in Belgium on March 22, 2016|Tue, 22 Mar 2016 07:00:00 -0400| From March 22 until sunset March 25, 2016| In memory of the victims of the tragedy in Belgium on March 22, 2016| The flag on the Peace Tower in Ottawa|16|2016-03-22 00:00:00|2016-03-25 00:00:00|2016
Death of Donald Ross Getty, O.C., A.O.E., former Premier of the Province of Alberta|Fri, 26 Feb 2016 09:00:00 -0500| From February 26, 2016 until sunset, March 5, 2016, the day of the funeral of the late Donald Ross Getty, former Premier of Alberta| Death of the late Donald Ross Getty, O.C., A.O.E., former Premier of the Province of Alberta, who passed away on Friday, February 26, 2016.| All Government of Canada buildings and establishments in the province of Alberta|10|2016-02-26 00:00:00|2016-03-05 00:00:00|2016
Death of Stuart Milton Hodgson, O.C.|Fri, 19 Feb 2016 05:00:00 -0500| From sunrise until sunset, Friday February 19, the day of the memorial service for Stuart Milton Hodgson, former Commissioner of the Northwest Territories| Death of Stuart Milton Hodgson, former Commissioner of the Northwest Territories who passed away December 18, 2015 in Vancouver, British Columbia. | All Government of Canada buildings and establishments in the Northwest Territories|7|2016-02-19 00:00:00|NA|2016
Death of William Richards (Bill) Bennett, P.C., O.B.C, former Premier of British Columbia|Sun, 31 Jan 2016 00:00:00 -0500| January 31, 2016 from sunrise to sunset, the day of the commemorative service of the late Bill Bennett, former Premier of British Columbia| Death of Bill Bennett, former Premier of British Columbia, who died on Thursday, December 03, 2015| All Government of Canada buildings and establishments in the province of British Columbia as well as the Peace Tower in Ottawa|Multiple|2016-01-31 00:00:00|NA|2016
Death of John Harvard, P.C., O.M., former Lieutenant Governor of Manitoba|Mon, 25 Jan 2016 00:00:00 -0500| From January 9, 2016 until sunset on January 25,  2016, day of the commemorative service of the late John Harvard, former Lieutenant Governor of Manitoba| Death of John Harvard, P.C., O.M., former Lieutenant Governor of Manitoba who passed away on Saturday, January 9, 2016| All Government of Canada buildings and establishments in the city of Winnipeg, Manitoba.  Furthermore, the flag on the Peace Tower will be flown at half-mast from sunrise on January 25, 2016, the day of the commemorative service.|7|2016-01-09 00:00:00|2016-01-25 00:00:00|2016
Death of the Honourable Robert Coates, P.C., Q.C.|Wed, 13 Jan 2016 16:00:00 -0500| from now until sunset the day of the funeral or memorial service (date to be confirmed) | Death of the Honourable Robert Coates, P.C., Q.C.| in the city of Halifax, Nova Scotia|7|2016-01-09 00:00:00|2016-01-25 00:00:00|2016
Death of Howard Pawley, P.C., O.C., O.M., former Premier of Manitoba|Thu, 31 Dec 2015 07:00:00 -0500| 	From now until sunset on Saturday, January 9, 2016. the day of the commemorative service of the late Howard Pawley, former Premier of Manitoba| Death of Howard Pawley, Premier of Manitoba, who died on Wednesday, December 30, 2015| All Government of Canada buildings and establishments in the province of Manitoba and in the City of Windsor, Ontario.   Furthermore, the flag on the Peace Tower will be flown at half-mast from sunrise until sunset on Saturday, January 9, 2016, the day of the commemorative service.|10|2015-01-09 00:00:00|NA|2015
Death of the Honourable Russell Mackay|Wed, 23 Dec 2015 16:00:00 -0500| From December 23, 2015 until sunset on Thursday, December 24, 2015| Death of the Honourable Russell Mackay, Provincial Court Judge, British Columbia| The flags on all Government of Canada buildings and establishments in the Chilliwack, Surrey and Abbotsford Region, will also be flown at half-mast on the day of the funeral or memorial service.|10|2015-12-23 00:00:00|2015-12-24 00:00:00|2015
National Day of Remembrance and Action on Violence Against Women|Sun, 6 Dec 2015 05:00:00 -0500| From sunrise to sunset on Sunday, December 6, 2015| National Day of Remembrance and Action on Violence Against Women| All Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa|11|2015-12-06 00:00:00|NA|2015
Death of Manmeet Bhullar, Member of the Legislative Assembly of Alberta|Tue, 24 Nov 2015 12:00:00 -0500| From November 24 until Sunday, November 29, 2015, the day of the commemorative service of the late Manmeet Bhullar.| Death of Manmeet Bhullar, Member of the Legislative Assembly of Alberta, who passed away on November 23, 2015.| All Government of Canada buildings and establishments in Alberta|10|2015-11-24 00:00:00|2015-11-29 00:00:00|2015
To mark the tragic events that took place in Paris, France|Sat, 14 Nov 2015 00:45:00 -0500| The flag on the Peace Tower in Ottawa will be at half-mast until sunset on Monday, November 16, 2015.| To mark the tragic events that took place in Paris, France| The Peace Tower in Ottawa|10|2015-11-16 00:00:00|NA|2015
Remembrance  Day - November 11, 2015|Wed, 11 Nov 2015 05:00:00 -0500| From sunrise to sunset on Wednesday, November 11, 2015.| Remembrance  Day - Details, Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower, will be flown at half-mast from sunrise to sunset on Remembrance Day, Wednesday, November 11, 2015.  When half-masting occurs at the National War Memorial or a place where remembrance is being observed, the half-masting can occur at 11:00 a.m. (or according to the prescribed order of service) until sunset. | Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower.|11|2015-11-11 00:00:00|NA|2015
Anniversary of the death of Warrant Officer Patrice Vincent and Corporal Nathan Cirillo, members of the Canadian Armed Forces|Wed, 21 Oct 2015 17:00:00 -0400| From sunrise to sunset on Thursday, October 22, 2015| Anniversary of the death of Warrant Officer Patrice Vincent and Corporal Nathan Cirillo, members of the Canadian Armed Forces| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa.|16|2015-10-22 00:00:00|NA|2015
Police and Peace Officers' National Memorial Day - September 27, 2015|Wed, 23 Sep 2015 08:00:00 -0400| From sunrise to sunset on Sunday, September 27, 2015| To recognize Police and Peace Officers' National Memorial Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa.|11|2015-09-27 00:00:00|NA|2015
Death of Private Samuel Lavoie Nadeau|Fri, 14 Aug 2015 06:00:00 -0400| From sunrise until sunset, August 14, 2015, day of the funeral of the late Samuel Lavoie Nadeau, who died on August 10, 2015| Death of Private Samuel Lavoie Nadeau| All Government of Canada building and establishments in Dieppe, New Brunswick|10|2015-08-14 00:00:00|2015-08-10 00:00:00|2015
Death of correctional officer Kirby Tott|Mon, 27 Jul 2015 17:00:00 -0400| From July 27, 2015, until sunset on Wednesday, August 5, 2015 of Kirby Tott who passed away on July 25, 2015.| Death of correctional officer Kirby Tott| All Correctional Service of Canada buildings in British Columbia|10|2015-07-27 00:00:00|2015-08-05 00:00:00|2015
Death of the Honourable Flora Isabel MacDonald|Mon, 27 Jul 2015 06:00:00 -0400| From July 27 until sunset, Sunday, August 2, 2015, on the day of the memorial service of the late Honourable Flora Isabel MacDonald, P.C., C.C., O.Ont., O.N.S., who died on July 26, 2015.| Death of the Honourable Flora Isabel MacDonald, P.C., C.C., O.Ont., O.N.S., former Minister| The flags on all Government of Canada buildings and establishments in Ottawa, Ontario, excluding the Peace Tower.   Furthermore, the flags on all Government of Canada buildings and establishments in Ottawa, Ontario, as well as the flag on the Peace Tower, will be flown at half-mast from sunrise until sunset on Sunday, August 2, 2015, on the day of the memorial service.|7|2015-07-27 00:00:00|2015-07-26 00:00:00|2015
National Day of Remembrance for Victims of Terrorism|Tue, 23 Jun 2015 06:00:00 -0400| From sunrise to sunset on Tuesday, June 23, 2015, to mark this day.| National Day of Remembrance for Victims of Terrorism| The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across the country|11|2015-06-23 00:00:00|NA|2015
Death of Constable Daniel Woodall, Edmonton Police Service|Tue, 9 Jun 2015 14:00:00 -0400| From June 9, 2015, until sunset, on Wednesday, June 17, 2015 in honour of the late Constable Daniel Woodall, who passed away June 8, 2015.| In honour of the late Constable Daniel Woodall, who passed away June 8, 2015.| The flags on all Government of Canada buildings and establishments in Edmonton, Alberta|10|2015-06-09 00:00:00|2015-06-17 00:00:00|2015
Death of Mr. Jacques Parizeau, Former Premier of Quebec|Mon, 1 Jun 2015 08:00:00 -0400| From June 1, 2015 until sunset on the day of the funeral, June 9, 2015.| To mark the death of Mr. Jacques Parizeau, Former Premier of Quebec who passed away on June 1, 2015| All Government of Canada buildings and establishments in the province of Quebec|10|2015-06-01 00:00:00|2015-06-09 00:00:00|2015
Anniversary of the June 2014 shootings in New Brunswick|Thu, 28 May 2015 06:00:00 -0400| Sunrise to sunset on Thursday, June 4, 2015| To mark the anniversary of the June 2014 shootings that took the lives of three members of the RCMP| Flags on all Government of Canada buildings and establishments in the province of New-Brunswick|10|2015-06-04 00:00:00|NA|2015
Death of Mr. George Braden, Former Government Leader of the Northwest Territories|Wed, 27 May 2015 08:00:00 -0400| From May 27, 2015 until the morning of May 28, 2015, to mark the passing of the late Mr. George Braden. Also, the flags will be flown at half-mast from on the date of the funeral (date to be confirmed).| Death of Mr. George Braden, Former Government Leader of the Northwest Territories, who passed away on May 25, 2015| All Government of Canada buildings and establishments in the Northwest Territories|10|2015-05-27 00:00:00|2015-05-28 00:00:00|2015
Memorial Service for Deceased Parliamentarians|Wed, 27 May 2015 08:00:00 -0400| From 9:00 a.m. to 11:00 a.m. on Monday, June 1, 2015| Memorial Service for Deceased Parliamentarians| Peace Tower in Ottawa|11|2015-06-01 00:00:00|NA|2015
Workers' Mourning Day|Tue, 28 Apr 2015 05:00:00 -0400| Sunrise to sunset on Tuesday April 28, 2015| Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day)| The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada|11|2015-04-28 00:00:00|NA|2015
Death of the Honourable Christine Stewart|Sun, 26 Apr 2015 06:00:00 -0400| From April 26, 2015 until sunset on Wednesday, April 29, 2015| Death of the Honourable Christine Stewart, P.C., Former Minister who died on April 25, 2015.| All Government of Canada buildings and establishments in the Town of Cobourg, Ontario as well as on the Peace Tower in Ottawa. Furthermore, the flags on all Government of Canada buildings and establishments in the Town of Cobourg, Ontario, as well as the flag on the Peace Tower, in Ottawa, will be flown at half-mast from sunrise until sunset on Saturday, May 23, 2015, the day of the memorial service for late the Honourable Christine Stewart, P.C.|7|2015-04-26 00:00:00|2015-04-29 00:00:00|2015
Death of the Honourable Alasdair Bernard Graham|Sat, 25 Apr 2015 06:00:00 -0400| From April 25, 2015 until sunset on Monday, April 27, the day of the funeral of the late The Honourable Alasdair Bernard Graham| Death of the Honourable Alasdair Bernard Graham, P.C. who died on April 22, 2015| All Government of Canada buildings and establishments in the Halifax in Nova-Scotia.  The flag will also be at half-mast on the Peace Tower in Ottawa from sunrise until sunset on Monday, April 27, day of the funeral.|7|2015-04-25 00:00:00|2015-04-27 00:00:00|2015
Death of the Honourable Pierre Claude Nolin|Fri, 24 Apr 2015 06:00:00 -0400| From April 24, 2015 until sunset, Thursday, April 30, 2015 day of the funeral of the late Honourable Pierre Claude Nolin.| Death of the Honourable Pierre Claude Nolin, Senator and Speaker of the Senate who died on April 24, 2015| All Government of Canada buildings and establishments in the city of Montréal as well as on the Peace Tower in Ottawa.|Multiple|2015-04-24 00:00:00|2015-04-30 00:00:00|2015
National day of remembrance of the Battle of Vimy Ridge.|Thu, 9 Apr 2015 05:00:00 -0400| Sunrise to sunset on Thursday, April 9, 2015| National day of remembrance of the Battle of Vimy Ridge| Peace Tower in Ottawa|11|2015-04-09 00:00:00|NA|2015
Death of Sergeant Andrew Doiron, member of the Canadian Armed Forces|Thu, 12 Mar 2015 13:00:00 -0400| From now until sunset, Saturday, March 14, 2015, day of the funeral or memorial service.| Death of Sergeant Andrew Doiron, member of the Canadian Armed Forces, who died on March 6, 2015.| On all Government of Canada buildings and establishments in New-Brunswick|10|2015-03-14 00:00:00|NA|2015
Death of Constable David Matthew Wynn|Wed, 21 Jan 2015 12:00:00 -0500| From January 21, 2015 until sunset, Monday, January 26, 2015, day of the funeral. | Death of Constable David Matthew Wynn, member of the Royal Canadian Mounted Police, who died on January 21, 2015.| On all Government of Canada buildings and establishments in the town of St. Albert, Alberta.|10|2015-01-21 00:00:00|2015-01-26 00:00:00|2015
Death of the Honourable Mr. Gilbert Finn, O.C.|Thu, 8 Jan 2015 06:00:00 -0500| From January 8 until sunset January 12, 2015, the day of the funeral of the late Honourable Gilbert Finn.| Death of the Honourable Mr. Gilbert Finn, O.C., former Lieutenant-Governor of New Brunswick who passed away on January 7, 2015| All Government of Canada buildings and establishments in New Brunswick|10|2015-01-08 00:00:00|2015-01-12 00:00:00|2015
Death of Eric Cunningham, former Member of the Legislative Assembly of Ontario|Tue, 6 Jan 2015 07:00:00 -0500| From sunrise to sunset on Wednesday, January 7, 2015, the day of the funeral of the late Eric Cunningham.| Death of Eric Cunningham, former Member of the Legislative Assembly of Ontario, who passed away on January 1, 2015| All Government of Canada buildings and establishments in the provincial riding of Ancaster-Dundas-Flamborough-Westdale, Ontario.|10|2015-01-07 00:00:00|NA|2015
Remembrance and Action on Violence Against Women|Sat, 6 Dec 2014 05:00:00 -0500| From sunrise to sunset on Saturday, December 6, 2014| National Day of Remembrance and Action on Violence Against Women| All Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa|11|2014-12-06 00:00:00|NA|2014
Death of Mr. Jean Béliveau|Wed, 3 Dec 2014 03:35:00 -0500| From now until  Wednesday, December 10, 2014, the day of the funeral of the late Jean Béliveau| Death of Mr. Jean Béliveau who passed away on December 2, 2014| All Government of Canada buildings and establishments in the province of Québec|10|2014-12-10 00:00:00|NA|2014
Remembrance Day|Tue, 11 Nov 2014 06:30:00 -0500| From sunrise to sunset on Tuesday, November 11, 2014| Remembrance Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower.|11|2014-11-11 00:00:00|NA|2014
Death of Warrant Officer Patrice Vincent, member of the Canadian Armed Forces|Wed, 22 Oct 2014 20:00:00 -0400| From October 22, 2014, until sunset on Saturday, November 1, 2014, day of the funeral of the late Warrant Officer Patrice Vincent. | Death of Warrant Officer Patrice Vincent, member of the Canadian Armed Forces| The Flag on all Federal buildings and establishments in Canada, including the Peace Tower. |16|2014-10-22 00:00:00|2014-11-01 00:00:00|2014
Death of Warrant Officer Patrice Vincent and Corporal Nathan Cirillo, members of the Canadian Armed Forces|Wed, 22 Oct 2014 19:00:00 -0400| October 22, 2014, until further notice, to commemorate the tragic events that occurred in Saint-Jean-sur-Richelieu, Quebec, on October 20, 2014, and Ottawa, Ontario, on October 22, 2014.| Death of Warrant Officer Patrice Vincent and Corporal Nathan Cirillo, members of the Canadian Armed Forces.| The Flag on all Federal buildings and establishments in Canada, including the Peace Tower, will be flown at half-mast.|16|2014-10-22 00:00:00|2014-10-22 00:00:00|2014
Death of a member of the Canadian Armed Forces|Wed, 22 Oct 2014 12:00:00 -0400| From October 22, 2014 until further notice.| The late Corporal Nathan Cirillo, a member of the Argyll and Sutherland Highlanders of Canada Regiment, in Hamilton, who died on October 22, 2014. |  The flag on all Government of Canada buildings and establishments, in the Northwest Territories, will be flown at half-mast.|10|2014-10-22 00:00:00|NA|2014
Police and Peace Officers' National Memorial Day - September 28, 2014|Sun, 28 Sep 2014 06:00:00 -0400| From sunrise to sunset on Sunday, September 28, 2014| To recognize Police and Peace Officers' National Memorial Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa.|11|2014-09-28 00:00:00|NA|2014
Death of the Honourable Marcel Masse, P.C., O.Q., Former Minister|Tue, 26 Aug 2014 11:00:00 -0400| From now until sunset the day of the funeral, Monday, September 1, 2014| Death of the Honourable Marcel Masse, P.C., O.Q., Former Minister, who passed away August 25, 2014| On all Government of Canada buildings and establishments in  the city of Saint-Donat de Montcalm, Quebec.  Further, the flag will be flown at half-mast on the Peace Tower from sunrise to sunset on the day of the funeral or the memorial service.|7|2014-09-01 00:00:00|NA|2014
Death of Richard T. A. Low, Judge of the Court of Appeal, Province of British Columbia|Mon, 18 Aug 2014 06:00:00 -0400| From sunrise August 18 until sunset on the day of the funeral. | Death of Richard T. A. Low, Judge of the Court of Appeal, Province of British Columbia| On all Government of Canada buildings and establishments in the greater Vancouver region in British Columbia.|10|2014-08-18 00:00:00|NA|2014
Death of George McCague, former Member of the Legislative Assembly of Ontario for the riding of Dufferin-Simcoe, Ontario|Tue, 15 Jul 2014 06:00:00 -0400| From July 15 until sunset on July 23, 2014, day of the funeral. | Death of George McCague, former Member of the Legislative Assembly of Ontario for the riding of Dufferin-Simcoe, Ontario| On all Government of Canada buildings and establishments in the riding of Simcoe-Grey, Ontario. |10|2014-07-15 00:00:00|2014-07-23 00:00:00|2014
